Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
ABBOTSFORD,792500,862500,925000,1187500,1280000,1192500,1050000,1200000,1365000,1346000,1250000,3,Não,Sim,Inner city,-17.97%,30.00%,-8.42%,Tram only,0,1,0
AINTREE,-,-,600000,600000,571000,557500,575000,616000,713500,756000,748000,Regional Victoria,#N/A,#N/A,Regional Victoria,0.70%,24.09%,4.84%,#N/A,#N/A,#N/A,#N/A
AIREYS INLET,664000,625500,680000,715000,737500,869000,985000,1132500,1775000,1725000,1675000,Regional Victoria,#N/A,#N/A,Regional Victoria,33.56%,80.20%,-5.63%,#N/A,#N/A,#N/A,#N/A
AIRPORT WEST,532000,575000,635000,742000,845000,845000,795000,812500,960000,911000,945000,14,Não,Não,Inner suburbs,-5.92%,20.75%,-1.56%,None,0,0,0
ALBANVALE,313000,328000,345000,439000,526500,546000,512000,545000,610000,600000,595000,20,Não,Não,Inner suburbs,-2.75%,19.14%,-2.46%,None,0,0,0
ALBERT PARK,1360000,1503000,1700000,1775000,2150000,2070000,1990000,1900000,2355000,2475000,2202500,3,Não,Sim,Inner city,-7.44%,18.34%,-6.48%,Tram only,0,1,0
ALBION,379000,432000,481000,593000,730000,755000,675000,727500,832500,830000,765000,12,Sim,Não,Inner suburbs,-7.53%,23.33%,-8.11%,Train only,1,0,0
ALEXANDRA,261000,247500,285000,275000,291500,335000,325000,380000,440000,550000,477500,Regional Victoria,#N/A,#N/A,Regional Victoria,11.49%,35.38%,8.52%,#N/A,#N/A,#N/A,#N/A
ALFREDTON,361500,362000,340500,375000,412500,439000,480000,512000,605000,650000,640000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.36%,26.04%,5.79%,#N/A,#N/A,#N/A,#N/A
ALLANSFORD,310000,242500,259000,275000,280000,245000,300000,371000,445000,573500,600000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.14%,48.33%,34.83%,#N/A,#N/A,#N/A,#N/A
ALPHINGTON,1080000,1029000,1296500,1272500,1560000,1612500,1455000,1865000,2280000,2195000,2076000,7,Sim,Não,Inner city,-6.73%,56.70%,-8.95%,Train only,1,0,0
ALTONA,572500,646500,718000,832500,950000,932500,890000,914000,1162500,1180000,1135000,12,Sim,Não,Inner suburbs,-6.32%,30.62%,-2.37%,Train only,1,0,0
ALTONA EAST,561500,605000,650000,800000,900000,909000,857500,870000,980000,1100000,1025000,12,Não,Não,Inner suburbs,-4.72%,14.29%,4.59%,None,0,0,0
ALTONA MEADOWS,390000,413000,440000,495000,626500,631500,615000,640000,720000,740000,690000,19,Não,Não,Inner suburbs,-1.84%,17.07%,-4.17%,None,0,0,0
ALTONA NORTH,510000,555000,642500,725000,825000,835000,790000,830000,905000,942500,880500,11,Não,Não,Inner suburbs,-4.24%,14.56%,-2.71%,None,0,0,0
ANGLESEA,550000,612500,635000,652500,788000,870000,915000,1100000,1440000,1717500,1550000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.12%,57.38%,7.64%,#N/A,#N/A,#N/A,#N/A
APOLLO BAY,450000,457500,435000,480000,545000,555000,915000,710000,924500,1000000,1080000,Regional Victoria,#N/A,#N/A,Regional Victoria,67.89%,1.04%,16.82%,#N/A,#N/A,#N/A,#N/A
ARARAT,180000,200000,210000,204500,199000,199000,215000,244000,313000,380000,375000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.04%,45.58%,19.81%,#N/A,#N/A,#N/A,#N/A
ARDEER,330000,360000,381500,517500,595000,629000,572000,615000,719000,682000,628500,15,Não,Não,Inner suburbs,-3.87%,25.70%,-12.59%,None,0,0,0
ARMADALE,1675000,1750000,2172500,2364000,2300000,2341500,2490000,2625000,2700000,2735500,2585000,6,Sim,Sim,Inner city,8.26%,8.43%,-4.26%,Train and Tram,1,1,1
ARMSTRONG CREEK,467500,441500,440000,450000,471000,535000,529500,545500,660000,720000,675000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.42%,24.65%,2.27%,#N/A,#N/A,#N/A,#N/A
ASCOT (GREATER BENDIGO),349500,344500,350000,371000,358000,380000,415500,470000,562500,595000,609500,Regional Victoria,#N/A,#N/A,Regional Victoria,16.06%,35.38%,8.36%,#N/A,#N/A,#N/A,#N/A
ASCOT VALE,735000,810000,885000,1010000,1185000,1197500,1100000,1210000,1245000,1325000,1300500,5,Sim,Não,Inner city,-7.17%,13.18%,4.46%,Train only,1,0,0
ASHBURTON,1000000,1200000,1435000,1567500,1812500,1712500,1641500,1600000,2000000,1986000,1992500,12,Sim,Não,Inner suburbs,-9.43%,21.84%,-0.38%,Train only,1,0,0
ASHWOOD,775000,888000,1140000,1230000,1359000,1210000,1100000,1250500,1450000,1567500,1455000,14,Não,Não,Inner suburbs,-19.06%,31.82%,0.34%,None,0,0,0
ASPENDALE,620000,690000,795500,891000,1125000,980000,994000,1120000,1321500,1440000,1332500,28,Sim,Não,Middle ring,-11.64%,32.95%,0.83%,Train only,1,0,0
ASPENDALE GARDENS,586500,632000,715000,775000,882500,935000,844000,970000,1130500,1150000,1117000,28,Não,Não,Middle ring,-4.36%,33.95%,-1.19%,None,0,0,0
ATTWOOD,540000,515000,620000,660000,742500,750000,767500,750000,970000,990500,950000,20,Não,Não,Inner suburbs,3.37%,26.38%,-2.06%,None,0,0,0
AVENEL,231000,302000,245000,250000,355000,349000,370000,450000,455000,497500,555000,Regional Victoria,#N/A,#N/A,Regional Victoria,4.23%,22.97%,21.98%,#N/A,#N/A,#N/A,#N/A
AVOCA,182500,180000,182500,165000,212500,220000,219500,290000,325000,375000,350000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.29%,48.06%,7.69%,#N/A,#N/A,#N/A,#N/A
AVONDALE HEIGHTS,532500,562500,650000,750000,845500,830000,810000,842500,965500,990000,936000,12,Não,Não,Inner suburbs,-4.20%,19.20%,-3.06%,None,0,0,0
AVONSLEIGH,420000,355000,397500,501000,562000,540000,532500,615000,752500,837500,725000,Regional Victoria,#N/A,#N/A,Regional Victoria,-5.25%,41.31%,-3.65%,#N/A,#N/A,#N/A,#N/A
AXEDALE,240000,357500,327500,340000,350000,355000,387500,390000,505000,520000,515000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.71%,30.32%,1.98%,#N/A,#N/A,#N/A,#N/A
BACCHUS MARSH,335500,348000,355000,376000,415500,480000,500000,520000,597000,665000,640000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.34%,19.40%,7.20%,#N/A,#N/A,#N/A,#N/A
BADGER CREEK,315000,325000,345000,379000,465000,500000,498000,550000,665000,715000,732500,Regional Victoria,#N/A,#N/A,Regional Victoria,7.10%,33.53%,10.15%,#N/A,#N/A,#N/A,#N/A
BAIRNSDALE,235000,244000,246500,255000,272500,279000,274000,290000,350000,440000,435000,Regional Victoria,#N/A,#N/A,Regional Victoria,0.55%,27.74%,24.29%,#N/A,#N/A,#N/A,#N/A
BALACLAVA,860500,942000,1100000,1242500,1385500,1190000,1405000,1418000,1550000,1560000,1500000,4,Sim,Sim,Inner city,1.41%,10.32%,-3.23%,Train and Tram,1,1,1
BALCOMBE,710000,737000,871000,950000,1100000,1240000,1125000,1300000,1750000,1852500,1758500,Regional Victoria,#N/A,#N/A,Regional Victoria,2.27%,55.56%,0.49%,#N/A,#N/A,#N/A,#N/A
BALLAN,352000,330000,359000,370000,417000,462000,450000,505000,603500,640000,607500,Regional Victoria,#N/A,#N/A,Regional Victoria,7.91%,34.11%,0.66%,#N/A,#N/A,#N/A,#N/A
BALLARAT CENTRAL,322000,327500,353000,385000,430000,447500,515000,560000,710000,687500,607500,Regional Victoria,#N/A,#N/A,Regional Victoria,19.77%,37.86%,-14.44%,#N/A,#N/A,#N/A,#N/A
BALLARAT EAST,265000,265000,275000,295000,310000,340000,360000,398000,490000,530000,512500,Regional Victoria,#N/A,#N/A,Regional Victoria,16.13%,36.11%,4.59%,#N/A,#N/A,#N/A,#N/A
BALLARAT NORTH,296000,312000,315000,339500,346500,389000,417500,425000,566500,627500,620000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.49%,35.69%,9.44%,#N/A,#N/A,#N/A,#N/A
BALNARRING,525000,544000,595000,670000,815000,814500,825000,938500,1275000,1330000,1250000,Regional Victoria,#N/A,#N/A,Regional Victoria,1.23%,54.55%,-1.96%,#N/A,#N/A,#N/A,#N/A
BALNARRING BEACH,750000,700000,887500,904000,890000,1115000,1275000,1250000,1635000,1847500,2400000,Regional Victoria,#N/A,#N/A,Regional Victoria,43.26%,28.24%,46.79%,#N/A,#N/A,#N/A,#N/A
BALWYN,1530000,1780000,2210000,2180000,2340000,2420000,2377500,2260000,2750000,2862000,2985000,10,Não,Sim,Inner city,1.60%,15.67%,8.55%,Tram only,0,1,0
BALWYN NORTH,1240000,1452000,1850000,1800000,1950000,1810000,1720000,1900000,2255500,2229000,2405000,11,Não,Não,Inner suburbs,-11.79%,31.13%,6.63%,None,0,0,0
BANDIANA,339000,355000,377500,370000,375000,390000,374000,380000,447000,599500,599000,Regional Victoria,#N/A,#N/A,Regional Victoria,-0.27%,19.52%,34.00%,#N/A,#N/A,#N/A,#N/A
BANNOCKBURN,370000,405000,393000,382000,430000,487500,530000,555000,680000,729500,710000,Regional Victoria,#N/A,#N/A,Regional Victoria,23.26%,28.30%,4.41%,#N/A,#N/A,#N/A,#N/A
BARANDUDA,345000,330000,323000,350000,350000,403500,395000,436000,487000,650000,610000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.86%,23.29%,25.26%,#N/A,#N/A,#N/A,#N/A
BARWON HEADS,742500,715000,775000,842500,916000,965000,1024000,1280000,1590000,1800000,1823000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.79%,55.27%,14.65%,#N/A,#N/A,#N/A,#N/A
BAXTER,330500,325000,340000,403000,530000,542500,530000,567500,710000,717500,692500,Regional Victoria,#N/A,#N/A,Regional Victoria,0.00%,33.96%,-2.46%,#N/A,#N/A,#N/A,#N/A
BAYSWATER,458500,525000,632500,693000,800500,753000,720000,745500,870000,902000,871000,25,Sim,Não,Middle ring,-10.06%,20.83%,0.11%,Train only,1,0,0
BAYSWATER NORTH,468500,490000,580000,628000,737500,713000,695000,731000,855500,869500,840500,26,Não,Não,Middle ring,-5.76%,23.09%,-1.75%,None,0,0,0
